algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,best_solution,mean_solution,worst_solution,std_solution,mean_time
SHADE,232,200,1,7500,3600,600,30,0.905,0.8981666666666668,0.89,0.0048131763593978,5439.62058725357
SHADE,233,200,1,7500,3600,600,40,0.8966666666666666,0.8858333333333333,0.88,0.0058214163988576,5439.709125518799
SHADE,234,200,1,7500,3600,600,50,0.8991666666666667,0.8841666666666667,0.8683333333333333,0.0111180533867719,5445.1140360355375
SHADE,235,200,1,7500,3600,900,10,0.945,0.9345,0.92375,0.0078501592340537,4710.271996355057
SHADE,236,200,1,7500,3600,900,20,0.93375,0.926,0.92,0.0052081666639998,4712.759000968933
SHADE,237,200,1,7500,3600,900,30,0.93125,0.91525,0.905,0.0094007978384815,4715.147720479965
SHADE,238,200,1,7500,3600,900,40,0.915,0.9075,0.9,0.005,4715.6713445186615
SHADE,239,200,1,7500,3600,900,50,0.9225,0.905,0.885,0.0120675183861471,4721.03686413765
SHADE,240,300,1,7500,3600,60,10,0.7411595651630638,0.729048026971981,0.7193406457210139,0.0088753120513928,51395.8624979496
SHADE,241,300,1,7500,3600,60,20,0.7410609803666623,0.7165620273411137,0.7001367053998633,0.016273583724757,49340.697003507616
SHADE,242,300,1,7500,3600,60,30,0.6951882560826423,0.6864432233270303,0.6740889377953265,0.0072280295869287,48102.55974082947
SHADE,243,300,1,7500,3600,60,40,0.6929519918283963,0.678568698943802,0.6661252115059222,0.0101506650500973,47065.11410212517
SHADE,244,300,1,7500,3600,60,50,0.6666899685424676,0.6571047949990371,0.6469451156368657,0.0065577941126098,45588.07932863235
SHADE,245,300,1,7500,3600,300,10,0.8363888888888888,0.8225,0.8161111111111111,0.0072286296363662,13401.338182210922
SHADE,246,300,1,7500,3600,300,20,0.815,0.8071666666666667,0.7877777777777778,0.0099075977828715,13387.563969945908
SHADE,247,300,1,7500,3600,300,30,0.8208333333333333,0.8106666666666668,0.805,0.0054563362193207,13392.184106254575
SHADE,248,300,1,7500,3600,300,40,0.8355555555555556,0.8149444444444442,0.8,0.014030830250946,13385.529192304612
SHADE,249,300,1,7500,3600,300,50,0.8086111111111111,0.7966666666666666,0.7883333333333333,0.0074763000025677,13387.807426786423
SHADE,250,300,1,7500,3600,600,10,0.8677777777777778,0.866,0.8627777777777778,0.0020306296536107,8358.287629795075
SHADE,251,300,1,7500,3600,600,20,0.8677777777777778,0.8540000000000001,0.8466666666666667,0.0073652504085228,8351.155158185958
SHADE,252,300,1,7500,3600,600,30,0.8494444444444444,0.8447777777777776,0.8355555555555556,0.0055511093319096,8343.541731309891
SHADE,253,300,1,7500,3600,600,40,0.8577777777777778,0.842,0.8244444444444444,0.0118561334858615,8345.497930335998
SHADE,254,300,1,7500,3600,600,50,0.8355555555555556,0.8226666666666667,0.8122222222222222,0.0087376014450389,8345.142160844804
SHADE,255,300,1,7500,3600,900,10,0.9141666666666668,0.9078333333333332,0.9008333333333334,0.0051261854997432,6644.980975723267
SHADE,256,300,1,7500,3600,900,20,0.9033333333333332,0.893,0.8808333333333334,0.008844332774281,6659.345806121826
SHADE,257,300,1,7500,3600,900,30,0.8883333333333333,0.8756666666666666,0.8708333333333333,0.0066957698088668,6653.550734519959
SHADE,258,300,1,7500,3600,900,40,0.8675,0.8649999999999999,0.8616666666666667,0.0021730674684008,6661.176804304123
SHADE,259,300,1,7500,3600,900,50,0.8616666666666667,0.8554999999999999,0.8483333333333334,0.0046127841676993,6657.45889635086
SHADE,260,400,1,7500,3600,60,10,0.7133911149430503,0.7012842411280874,0.6928674742361237,0.0072592716806927,92928.69070324898
SHADE,261,400,1,7500,3600,60,20,0.6862365888474466,0.6751494016804134,0.6629422718808193,0.0087908429922359,90262.19724459648
SHADE,262,400,1,7500,3600,60,30,0.6688732327769634,0.6611450610389276,0.6522439933511308,0.0055096436329671,88085.68676166535
SHADE,263,400,1,7500,3600,60,40,0.6612832611762417,0.6466464780933945,0.6359807759005103,0.0086352480641649,86607.8036767006
SHADE,264,400,1,7500,3600,60,50,0.6405128205128205,0.6189959197988346,0.6061160606790272,0.0114880370978945,83889.85814704894
SHADE,265,400,1,7500,3600,300,10,0.81625,0.804625,0.7985416666666667,0.0062893207547044,21796.448170375825
SHADE,266,400,1,7500,3600,300,20,0.815625,0.80375,0.795625,0.0075530530986556,21792.952908468247
SHADE,267,400,1,7500,3600,300,30,0.8004166666666667,0.7933333333333332,0.7785416666666667,0.0076023114175156,21769.40266337395
SHADE,268,400,1,7500,3600,300,40,0.8041666666666667,0.787875,0.7708333333333334,0.0110682855241651,21753.290858983997
SHADE,269,400,1,7500,3600,300,50,0.8010416666666667,0.7877916666666667,0.7714583333333334,0.0107356169930853,21738.268673801424
SHADE,270,400,1,7500,3600,600,10,0.8404166666666667,0.8365833333333335,0.82875,0.0042687494916219,12521.6194378376
SHADE,271,400,1,7500,3600,600,20,0.8483333333333334,0.82875,0.81625,0.0114230517424684,12516.234209680557
SHADE,272,400,1,7500,3600,600,30,0.81875,0.8159166666666666,0.8129166666666666,0.0022267315359812,12510.873683691025
SHADE,273,400,1,7500,3600,600,40,0.8204166666666667,0.8134166666666667,0.8029166666666666,0.0061089642693704,12507.898744869231
SHADE,274,400,1,7500,3600,600,50,0.8233333333333334,0.806,0.79875,0.0088372632767289,12500.61210436821
SHADE,275,400,1,7500,3600,900,10,0.865625,0.8634999999999999,0.859375,0.0022220486043288,9475.701935577392
SHADE,276,400,1,7500,3600,900,20,0.856875,0.8532500000000001,0.84625,0.0039011216335818,9474.064390468597
SHADE,277,400,1,7500,3600,900,30,0.845625,0.8386249999999998,0.831875,0.0051599418601375,9472.095972919464
SHADE,278,400,1,7500,3600,900,40,0.841875,0.8346250000000002,0.8275,0.004619929653144,9470.225682640075
SHADE,279,400,1,7500,3600,900,50,0.834375,0.8243750000000001,0.819375,0.0054054370776099,9466.713065099715
SHADE,280,500,1,7500,3600,60,10,0.6763854803853339,0.6671138588953363,0.6580030246544508,0.0077962694183649,132831.21430931092
SHADE,281,500,1,7500,3600,60,20,0.6458044761974192,0.6380587291031815,0.6312642999483357,0.0057585770071803,130668.6199713707
SHADE,282,500,1,7500,3600,60,30,0.6238477988348942,0.6133339878129771,0.6072207136573986,0.0066838656624149,128991.83836112024
SHADE,283,500,1,7500,3600,60,40,0.5943303624013506,0.5876191309309189,0.5823105102156426,0.0044250417404133,128080.12452583312
SHADE,284,500,1,7500,3600,60,50,0.5614561027837259,0.5585775458306768,0.5552527646129541,0.0025151472457421,125644.92414226531
SHADE,285,500,1,7500,3600,300,10,0.7928333333333333,0.7796333333333333,0.7715,0.0076029234143482,33100.37308254242
SHADE,286,500,1,7500,3600,300,20,0.7801666666666667,0.7735333333333333,0.7693333333333333,0.0039460247225671,33117.8775247097
SHADE,287,500,1,7500,3600,300,30,0.7818333333333334,0.7721,0.7605,0.0076052613367326,33106.65338401795
SHADE,288,500,1,7500,3600,300,40,0.8,0.7645666666666667,0.7483333333333333,0.0181250593868759,33095.605170536044
SHADE,289,500,1,7500,3600,300,50,0.7625,0.7525000000000001,0.7421666666666666,0.0071336448530109,33073.895005846025
SHADE,290,500,1,7500,3600,600,10,0.835,0.8228666666666665,0.8133333333333334,0.0070572263988371,18051.44671020508
SHADE,291,500,1,7500,3600,600,20,0.819,0.813,0.8083333333333333,0.0039044134571589,18059.82371301651
SHADE,292,500,1,7500,3600,600,30,0.8096666666666666,0.8034666666666668,0.7993333333333333,0.0035061850112812,18060.36607761383
SHADE,293,500,1,7500,3600,600,40,0.8183333333333334,0.8006666666666667,0.7933333333333333,0.0092568293107785,18062.95724668503
SHADE,294,500,1,7500,3600,600,50,0.8013333333333333,0.7901333333333334,0.778,0.0077991452523123,18055.825215816498
SHADE,295,500,1,7500,3600,900,10,0.861,0.8523,0.845,0.0069685005560737,13200.22321205139
SHADE,296,500,1,7500,3600,900,20,0.84,0.8336,0.829,0.0036110940170535,13187.228973293304
SHADE,297,500,1,7500,3600,900,30,0.82,0.8164999999999999,0.8095,0.0039115214431215,13182.735707187652
SHADE,298,500,1,7500,3600,900,40,0.83,0.8125,0.804,0.0092682252885867,13174.117795562745
SHADE,299,500,1,7500,3600,900,50,0.8035,0.7975,0.791,0.0042071367935925,13167.069991350174
